"price";"from";"to";"image";"company";"url";"departure_date"
1291.0;" Paraíba ";" Asunción ";" http://ofertas.submarinoviagens.com.br/Marketing/1200x628/assuncao-paraguai.jpg ";" Latam ";" http://www.submarinoviagens.com.br/travel/resultado-passagens.aspx?Data=09-11-2017&Data=20-11-2017&Destino=ASU&Destino=JPA&ExecutiveFlight=false&Hora=&Hora=&Multi=false&NumADT=1&NumCHD=0&NumINF=0&Origem=JPA&Origem=ASU&Proximity=&ProximityId=0&RoundTrip=1&SomenteDireto=false&searchtype=Air ";"2017-11-09"
4842.0;" Brasília ";" Abu Dhabi ";" http://ofertas.submarinoviagens.com.br/Marketing/1200x628/abu-dhabi-distrito-jumeirah-emirados-arabes.jpg ";" Turkish  ";" http://www.submarinoviagens.com.br/travel/resultado-passagens.aspx?Data=09-10-2017&Data=20-10-2017&Destino=AUH&Destino=BSB&ExecutiveFlight=false&Hora=&Hora=&Multi=false&NumADT=1&NumCHD=0&NumINF=0&Origem=BSB&Origem=AUH&Proximity=&ProximityId=0&RoundTrip=1&SomenteDireto=false&searchtype=Air ";"2017-10-09"
5273.0;" Belo Horizonte ";" Phuket ";" http://ofertas.submarinoviagens.com.br/Marketing/1200x628/phuket-tailandia.jpg ";" British Airways ";" http://www.submarinoviagens.com.br/travel/resultado-passagens.aspx?Data=02-10-2017&Data=26-10-2017&Destino=HKT&Destino=BHZ&ExecutiveFlight=false&Hora=&Hora=&Multi=false&NumADT=2&NumCHD=0&NumINF=0&Origem=BHZ&Origem=HKT&Proximity=&ProximityId=0&RoundTrip=1&SomenteDireto=false&searchtype=Air ";"2017-10-02"
3021.57;" Paraíba ";" Amsterdam ";" http://ofertas.submarinoviagens.com.br/Marketing/1200x628/amsterdam-canal-com-barcos-holanda.jpg ";" Air France ";" http://www.submarinoviagens.com.br/travel/resultado-passagens.aspx?Data=02-11-2017&Data=14-11-2017&Destino=AMS&Destino=JPA&ExecutiveFlight=false&Hora=&Hora=&Multi=false&%20CPU%20iPhone%20OS%2010_2%20like%20Mac%20OS%20X)%20AppleWebKit/602.3.12%20(KHTML,%20like%20Gecko)%20Mobile/14C92%20Instagram%2010.3.0%20(iPhone6,2;%20iOS%2010_2;%20pt_BR;%20pt-BR;%20scale=2.00;%20gamut=normal;%20640x1136)%20-?&NumADT=1&NumCHD=0&NumINF=0&Origem=JPA&Origem=AMS&Proximity=&ProximityId=0&RoundTrip=1&SomenteDireto=false&searchtype=Air ";"2017-11-02"
3316.0;" Cuiabá ";" Roma ";" http://ofertas.submarinoviagens.com.br/Marketing/1200x628/roma-fontana-de-trevi-italia.jpg ";" Air Europa ";" http://www.submarinoviagens.com.br/travel/resultado-passagens.aspx?Data=16-03-2018&Data=23-03-2018&Destino=ROM&Destino=CGB&ExecutiveFlight=false&Hora=&Hora=&Multi=false&NumADT=1&NumCHD=0&NumINF=0&Origem=CGB&Origem=ROM&Proximity=&ProximityId=0&RoundTrip=1&SomenteDireto=false&searchtype=Air ";"2018-03-16"
2734.0;" Brasília ";" Amsterdam ";" http://ofertas.submarinoviagens.com.br/Marketing/1200x628/amsterdam-canal-com-barcos-holanda.jpg ";" Tap ";" http://www.submarinoviagens.com.br/travel/resultado-passagens.aspx?Data=08-11-2017&Data=15-11-2017&Destino=AMS&Destino=BSB&ExecutiveFlight=false&Hora=&Hora=&Multi=false&NumADT=2&NumCHD=0&NumINF=0&Origem=BSB&Origem=AMS&Proximity=&ProximityId=0&RoundTrip=1&SomenteDireto=false&searchtype=Air ";"2017-11-08"
990.0;" Brasília ";" Asunción ";" http://ofertas.submarinoviagens.com.br/Marketing/1200x628/assuncao-paraguai.jpg ";" Latam ";" http://www.submarinoviagens.com.br/travel/resultado-passagens.aspx?Data=05-09-2017&Data=12-09-2017&Destino=ASU&Destino=BSB&ExecutiveFlight=false&Hora=&Hora=&Multi=false&NumADT=1&NumCHD=0&NumINF=0&Origem=BSB&Origem=ASU&Proximity=&ProximityId=0&RoundTrip=1&SomenteDireto=false&searchtype=Air ";"2017-09-05"
2224.0;" Brasília ";" Oranjestad ";" http://ofertas.submarinoviagens.com.br/Marketing/1200x628/aruba-praia-paradisiaca.jpg ";" Copa  ";" http://www.submarinoviagens.com.br/travel/resultado-passagens.aspx?Data=18-06-2017&Data=28-06-2017&Destino=AUA&Destino=BSB&ExecutiveFlight=false&Hora=&Hora=&Multi=false&NumADT=1&NumCHD=0&NumINF=0&Origem=BSB&Origem=AUA&Proximity=&ProximityId=0&RoundTrip=1&SomenteDireto=false&searchtype=Air ";"2017-06-18"
3292.0;" Brasília ";" Atenas ";" http://ofertas.submarinoviagens.com.br/Marketing/1200x628/atenas-acropole-partenon-grecia.jpg ";" American  ";" http://www.submarinoviagens.com.br/travel/resultado-passagens.aspx?Data=05-11-2017&Data=26-11-2017&Destino=ATH&Destino=BSB&ExecutiveFlight=false&Hora=&Hora=&Multi=false&NumADT=1&NumCHD=0&NumINF=0&Origem=BSB&Origem=ATH&Proximity=&ProximityId=0&RoundTrip=1&SomenteDireto=false&searchtype=Air ";"2017-11-05"
3698.0;" Brasília ";" Atlanta ";" http://ofertas.submarinoviagens.com.br/Marketing/1200x628/atlanta-parque-piedmont-estados-unidos.jpg ";" Delta  ";" http://www.submarinoviagens.com.br/travel/resultado-passagens.aspx?Data=21-06-2017&Data=03-07-2017&Destino=ATL&Destino=BSB&ExecutiveFlight=false&Hora=&Hora=&Multi=false&NumADT=1&NumCHD=0&NumINF=0&Origem=BSB&Origem=ATL&Proximity=&ProximityId=0&RoundTrip=1&SomenteDireto=false&searchtype=Air ";"2017-06-21"
